Record Date,Record Type,Location,Property Type,Price,Price/sqft,Built-up Area,Plot Area,Beds,Has Maid Room,Has Study Room,Floor Level,Views,Has Balcony,Developer,Comments,URL
2023-04-25,Secondary Transaction,"Murano Residences, Al Furjan",Apartment,580000.0,809,717,0,1 Bed,False,False,7,,True,Ghreiwati Properties,Unit-701,nan
2023-04-25,Off-plan Transaction,"Gemz by Danube, Al Furjan",Apartment,1413000.0,1080,1308,0,2 Bed,False,False,5,,True,Danube,Unit-524,nan
2023-04-24,Secondary Transaction,"Azizi Star, Al Furjan",Apartment,492480.0,1024,481,0,Studio,False,False,1,,True,Azizi Developments,"Hotel Apartment, Unit-105",nan
2023-04-19,Off-plan Transaction,"Avenue Residence 4, Avenue Residence, Al Furjan",Apartment,1008338.0,1285,785,0,1 Bed,False,False,,,False,,,nan
2023-04-19,Secondary Transaction,"Yasmine, Azizi Residence, Al Furjan",Apartment,700000.0,770,909,0,1 Bed,False,False,8,,True,Azizi Developments,Unit-809,nan
2023-04-19,Off-plan Transaction,"PG Upperhouse, Al Furjan",Apartment,910833.0,936,973,0,1 Bed,False,False,5,,True,,Unit-502,nan
2023-04-19,Off-plan Transaction,"Avenue Residence 4, Avenue Residence, Al Furjan",Apartment,1060080.0,1285,825,0,1 Bed,False,False,,,False,,,nan
2023-04-19,Off-plan Transaction,"Gemz by Danube, Al Furjan",Apartment,1314000.0,1062,1237,0,2 Bed,False,False,2,,True,Danube,Unit-214,nan
2023-04-19,Off-plan Transaction,"PG Upperhouse, Al Furjan",Apartment,713269.0,922,774,0,1 Bed,False,False,6,,True,,Unit-608,nan
2023-04-19,Secondary Transaction,"Samia Azizi, Al Furjan",Apartment,635000.0,791,803,0,1 Bed,False,False,,,True,Azizi Developments,Unit-924,nan
2023-04-19,Off-plan Transaction,"Gemz by Danube, Al Furjan",Apartment,1300000.0,1128,1153,0,2 Bed,False,False,7,,True,Danube,Unit-702,nan
2023-04-19,Off-plan Transaction,"PG Upperhouse, Al Furjan",Apartment,929758.0,956,973,0,1 Bed,False,False,7,,True,,Unit-702,nan
2023-04-19,Secondary Transaction,"Samia Azizi, Al Furjan",Apartment,421190.0,1115,378,0,Studio,False,False,,,True,Azizi Developments,Unit-415,nan
2023-04-19,Secondary Transaction,"Shaista Azizi, Al Furjan",Apartment,374500.0,991,378,0,Studio,False,False,5,,True,Azizi Developments,Unit-518,nan
2023-04-19,Off-plan Transaction,"Avenue Residence 4, Avenue Residence, Al Furjan",Apartment,1010000.0,1172,861,0,1 Bed,False,False,,,False,,,nan
2023-04-18,Secondary Transaction,"Yasmine, Azizi Residence, Al Furjan",Apartment,1100000.0,754,1459,0,2 Bed,False,False,3,,True,Azizi Developments,Unit-302,nan
2023-04-18,Off-plan Transaction,"Zazen Gardens, Al Furjan",Apartment,1243000.0,1005,1236,0,2 Bed,False,False,4,,True,,Unit-420,nan
2023-04-18,Off-plan Transaction,"Gemz by Danube, Al Furjan",Apartment,1460000.0,1113,1312,0,2 Bed,False,False,7,,True,Danube,Unit-701,nan
2023-04-18,Off-plan Transaction,"Gemz by Danube, Al Furjan",Apartment,575000.0,1400,411,0,Studio,False,False,7,,True,Danube,Unit-719,nan
2023-04-18,Secondary Transaction,"Candace Aster, Azizi Residence, Al Furjan",Apartment,415000.0,1111,374,0,Studio,False,False,7,,True,Azizi Developments,"Hotel Apartment, Unit-717",nan
2023-04-18,Off-plan Transaction,"PG Upperhouse, Al Furjan",Apartment,750000.0,1002,748,0,1 Bed,False,False,11,,True,,Unit-1107,nan
2023-04-18,Off-plan Transaction,"Avenue Residence 4, Avenue Residence, Al Furjan",Apartment,827919.0,1249,663,0,1 Bed,False,False,,,False,,,nan
2023-04-18,Off-plan Transaction,"Zazen Gardens, Al Furjan",Apartment,918000.0,1056,870,0,1 Bed,False,False,4,,True,,Unit-406,nan
2023-04-18,Off-plan Transaction,"Gemz by Danube, Al Furjan",Apartment,1290000.0,1119,1153,0,2 Bed,False,False,7,,True,Danube,Unit-711,nan
2023-04-18,Off-plan Transaction,"Gemz by Danube, Al Furjan",Apartment,1746000.0,1095,1595,0,3 Bed,False,False,11,,True,Danube,Unit-1104,nan
2023-04-18,Off-plan Transaction,"Avenue Residence 4, Avenue Residence, Al Furjan",Apartment,1365572.65,1118,1222,0,2 Bed,False,False,,,False,,,nan
2023-04-18,Off-plan Transaction,"Zazen Gardens, Al Furjan",Apartment,1530000.0,1085,1410,0,2 Bed,False,False,5,,True,,Unit-513,nan
2023-04-18,Off-plan Transaction,"Zazen Gardens, Al Furjan",Apartment,1255000.0,1015,1236,0,2 Bed,False,False,5,,True,,Unit-514,nan
2023-04-18,Off-plan Transaction,"Zazen Gardens, Al Furjan",Apartment,1530000.0,1085,1410,0,2 Bed,False,False,5,,True,,Unit-521,nan
