Transaction Type,Subtype,Sales Sequence,No,Date,Community,Property,Property Type,Unit,Bedrooms,Floor,Parking,Balcony Area,Size (Sqf),Land Size,Amount (AED),AED/Sqf,Developer
Sales - Ready,Sale,Primary,11-6384-2022,29-03-2022,Dubai Marina,Opal Marina Tower,Apartment,1606,1 B/R,16,B3-7,162.0,1064.13,,830000.0,779.98,Mismak Properties
Sales - Ready,Sale,Primary,11-6385-2022,29-03-2022,Dubai Marina,Opal Marina Tower,Apartment,2606,1 B/R,26,B3-67,162.0,1064.13,,927668.0,871.76,Mismak Properties
Sales - Ready,Sale,Primary,11-6386-2022,29-03-2022,Dubai Marina,Opal Marina Tower,Apartment,2706,1 B/R,27,B3-73,162.0,1064.13,,946600.0,889.55,Mismak Properties
Sales - Ready,Delayed Sell,Primary,41-5519-2022,28-03-2022,Dubai Marina,52-42 Tower 1,Apartment,1003,2 B/R,10,4F-058,69.75,1122.69,,2442888.0,2175.93,Emaar Properties PJSC
Sales - Ready,Delayed Sell,Primary,41-5265-2022,24-03-2022,Dubai Marina,Millennium Place (The One Dubai Marina By Wyndham),Serviced/Hotel Apartment,218,0 B/R,2,EU,149.19,664.57,,2182460.0,3284.02,The First Group
Sales - Ready,Delayed Sell,Primary,41-5264-2022,24-03-2022,Dubai Marina,Millennium Place (The One Dubai Marina By Wyndham),Serviced/Hotel Apartment,302,1 B/R,3,EU,33.48,720.54,,1991988.0,2764.57,The First Group
Sales - Ready,Delayed Sell,Primary,41-5259-2022,24-03-2022,Dubai Marina,TFG Marina Hotel (Wyndham Dubai Marina),Serviced/Hotel Apartment,710,0 B/R,7,EU,,333.58,,1246100.0,3735.58,The First Group
Sales - Ready,Delayed Sell,Primary,41-5333-2022,24-03-2022,Dubai Marina,TFG Marina Hotel (Wyndham Dubai Marina),Serviced/Hotel Apartment,715,0 B/R,7,EU,,339.71,,1580150.0,4651.44,The First Group
Sales - Ready,Delayed Sell,Primary,41-5233-2022,23-03-2022,Dubai Marina,TFG Marina Hotel (Wyndham Dubai Marina),Serviced/Hotel Apartment,1107,0 B/R,11,EU,,339.71,,1429350.0,4207.54,The First Group
Sales - Ready,Delayed Sell,Primary,41-5239-2022,23-03-2022,Dubai Marina,TFG Marina Hotel (Wyndham Dubai Marina),Serviced/Hotel Apartment,1206,1 B/R,12,EU,,442.83,,1561290.0,3525.7,The First Group
Sales - Ready,Delayed Sell,Primary,41-5234-2022,23-03-2022,Dubai Marina,TFG Marina Hotel (Wyndham Dubai Marina),Serviced/Hotel Apartment,1406,1 B/R,14,EU,,442.83,,1264425.0,2855.32,The First Group
Sales - Ready,Delayed Sell,Primary,41-5184-2022,23-03-2022,Dubai Marina,TFG Marina Hotel (Wyndham Dubai Marina),Serviced/Hotel Apartment,2513,0 B/R,25,EU,74.7,409.57,,1391958.0,3398.58,The First Group
Sales - Ready,Delayed Sell,Primary,41-5237-2022,23-03-2022,Dubai Marina,TFG Marina Hotel (Wyndham Dubai Marina),Serviced/Hotel Apartment,3004,0 B/R,30,EU,113.24,448.11,,1521649.0,3395.74,The First Group
Sales - Ready,Delayed Sell,Primary,41-5238-2022,23-03-2022,Dubai Marina,TFG Marina Hotel (Wyndham Dubai Marina),Serviced/Hotel Apartment,501,0 B/R,5,EU,29.28,612.47,,1350000.0,2204.18,The First Group
Sales - Ready,Delayed Sell,Primary,41-5235-2022,23-03-2022,Dubai Marina,TFG Marina Hotel (Wyndham Dubai Marina),Serviced/Hotel Apartment,508,0 B/R,5,EU,29.28,612.47,,1502650.0,2453.42,The First Group
Sales - Ready,Delayed Sell,Primary,41-5232-2022,23-03-2022,Dubai Marina,TFG Marina Hotel (Wyndham Dubai Marina),Serviced/Hotel Apartment,802,0 B/R,8,EU,,339.71,,1354624.0,3987.57,The First Group
Sales - Ready,Sale,Primary,11-5995-2022,23-03-2022,Jumeirah Beach Residence,The Address Jumeirah Resort Tower 1,Apartment,6606,2 B/R,66,B3-359,,1203.52,,2857000.0,2373.86,Al Ain Properties
Sales - Ready,Delayed Sell,Primary,41-5003-2022,22-03-2022,Dubai Marina,TFG Marina Hotel (Wyndham Dubai Marina),Serviced/Hotel Apartment,102,0 B/R,1,EU,,337.13,,1227775.0,3641.86,The First Group
Sales - Ready,Delayed Sell,Primary,41-5004-2022,22-03-2022,Dubai Marina,TFG Marina Hotel (Wyndham Dubai Marina),Serviced/Hotel Apartment,703,1 B/R,7,EU,,442.83,,1439572.0,3250.84,The First Group
Sales - Ready,Delayed Sell,Primary,41-4824-2022,21-03-2022,Dubai Marina,TFG Marina Hotel (Wyndham Dubai Marina),Serviced/Hotel Apartment,1613,0 B/R,16,EU,74.7,409.57,,1230604.0,3004.62,The First Group
Sales - Ready,Sale,Primary,11-5571-2022,18-03-2022,Dubai Marina,Sparkle Tower A,Apartment,1-105,2 B/R,1,B3-53,471.25,1740.22,,2089000.0,1200.43,Tebyan Real Estate Clarity
Sales - Ready,Delayed Sell,Primary,41-4615-2022,16-03-2022,Dubai Marina,Damac Heights,Apartment,4703,2 B/R,47,P4-22,276.2,1707.17,,2341580.0,1371.61,Damac Properties
Sales - Ready,Delayed Sell,Primary,41-4512-2022,16-03-2022,Dubai Marina,Millennium Place (The One Dubai Marina By Wyndham),Serviced/Hotel Apartment,1921,0 B/R,19,EU,70.83,422.27,,1809500.0,4285.16,The First Group
Sales - Ready,Delayed Sell,Primary,41-4568-2022,16-03-2022,Dubai Marina,TFG Marina Hotel (Wyndham Dubai Marina),Serviced/Hotel Apartment,1209,0 B/R,12,EU,29.28,609.78,,1615629.0,2649.53,The First Group
Sales - Ready,Delayed Sell,Primary,41-4565-2022,16-03-2022,Dubai Marina,TFG Marina Hotel (Wyndham Dubai Marina),Serviced/Hotel Apartment,1211,1 B/R,12,EU,,442.83,,1392700.0,3144.99,The First Group
Sales - Ready,Delayed Sell,Primary,41-4569-2022,16-03-2022,Dubai Marina,TFG Marina Hotel (Wyndham Dubai Marina),Serviced/Hotel Apartment,1315,0 B/R,13,EU,,339.71,,1411545.0,4155.12,The First Group
Sales - Ready,Delayed Sell,Primary,41-4564-2022,16-03-2022,Dubai Marina,TFG Marina Hotel (Wyndham Dubai Marina),Serviced/Hotel Apartment,1601,0 B/R,16,EU,29.28,614.52,,1445629.0,2352.46,The First Group
Sales - Ready,Delayed Sell,Primary,41-4562-2022,16-03-2022,Dubai Marina,TFG Marina Hotel (Wyndham Dubai Marina),Serviced/Hotel Apartment,1906,1 B/R,19,EU,,442.83,,1411652.0,3187.79,The First Group
Sales - Ready,Delayed Sell,Primary,41-4558-2022,16-03-2022,Dubai Marina,TFG Marina Hotel (Wyndham Dubai Marina),Serviced/Hotel Apartment,2207,0 B/R,22,EU,,339.71,,1044525.0,3074.74,The First Group
Sales - Ready,Delayed Sell,Primary,41-4537-2022,16-03-2022,Dubai Marina,TFG Marina Hotel (Wyndham Dubai Marina),Serviced/Hotel Apartment,2714,1 B/R,27,EU,,442.83,,1375000.0,3105.02,The First Group
Sales - Ready,Delayed Sell,Primary,41-4563-2022,16-03-2022,Dubai Marina,TFG Marina Hotel (Wyndham Dubai Marina),Serviced/Hotel Apartment,309,0 B/R,3,EU,29.28,608.6,,1509716.0,2480.65,The First Group
Sales - Ready,Delayed Sell,Primary,41-4561-2022,16-03-2022,Dubai Marina,TFG Marina Hotel (Wyndham Dubai Marina),Serviced/Hotel Apartment,406,1 B/R,4,EU,,441.65,,1403695.0,3178.32,The First Group
Sales - Ready,Delayed Sell,Primary,41-4560-2022,16-03-2022,Dubai Marina,TFG Marina Hotel (Wyndham Dubai Marina),Serviced/Hotel Apartment,610,0 B/R,6,EU,,333.58,,1354626.0,4060.92,The First Group
Sales - Ready,Delayed Sell,Primary,41-4588-2022,16-03-2022,Jumeirah Beach Residence,The Address Jumeirah Resort Tower 2,Serviced/Hotel Apartment,7004,2 B/R,70,B1-095,70.93,1462.29,,4287200.0,2931.84,Al Ain Properties
Sales - Ready,Sale,Primary,11-5324-2022,16-03-2022,Jumeirah Beach Residence,The Address Jumeirah Resort Tower 1,Apartment,2508,1 B/R,25,B3-394,58.88,742.39,,2554000.0,3440.23,Al Ain Properties
Sales - Ready,Sale,Primary,11-5264-2022,16-03-2022,Jumeirah Beach Residence,The Address Jumeirah Resort Tower 2,Serviced/Hotel Apartment,6606,1 B/R,66,B1-349,81.16,696.75,,2467500.0,3541.42,Al Ain Properties
Sales - Ready,Delayed Sell,Primary,41-4388-2022,15-03-2022,Jumeirah Beach Residence,The Address Jumeirah Resort Tower 2,Serviced/Hotel Apartment,5003,1 B/R,50,B2-251,73.63,809.78,,2720000.0,3358.95,Al Ain Properties
Sales - Ready,Sale,Primary,11-5219-2022,15-03-2022,Jumeirah Beach Residence,The Address Jumeirah Resort Tower 1,Apartment,3008,1 B/R,30,B3-215,58.88,742.39,,2560000.0,3448.31,Al Ain Properties
Sales - Ready,Sale,Primary,11-5207-2022,15-03-2022,Jumeirah Beach Residence,The Address Jumeirah Resort Tower 2,Serviced/Hotel Apartment,3508,3 B/R,35,"B2-300,B2-301",145.85,1923.85,,7621500.0,3961.59,Al Ain Properties
Sales - Ready,Sale,Primary,11-5146-2022,15-03-2022,Jumeirah Beach Residence,The Address Jumeirah Resort Tower 2,Serviced/Hotel Apartment,4503,1 B/R,45,B2-114,73.63,809.78,,2670000.0,3297.21,Al Ain Properties
Sales - Ready,Sale,Primary,11-5145-2022,15-03-2022,Jumeirah Beach Residence,The Address Jumeirah Resort Tower 2,Serviced/Hotel Apartment,5702,1 B/R,57,B2-285,,626.25,,2190000.0,3497.01,Al Ain Properties
Sales - Ready,Sale,Primary,11-5003-2022,14-03-2022,Dubai Marina,Marina Heights Tower,Apartment,4305,3 B/R,43,P3-31,541.43,2208.34,,2250000.0,1018.86,SRG Properties
Sales - Ready,Sale,Primary,11-5029-2022,14-03-2022,Dubai Marina,Opal Marina Tower,Apartment,1004,2 B/R,10,B2-46,234.98,1536.67,,1131100.0,736.07,Mismak Properties
Sales - Ready,Sale,Primary,11-5049-2022,14-03-2022,Dubai Marina,Opal Marina Tower,Apartment,1206,1 B/R,12,B2-60,162.0,1064.13,,850000.0,798.78,Mismak Properties
Sales - Ready,Sale,Primary,11-5110-2022,14-03-2022,Dubai Marina,Opal Marina Tower,Apartment,2006,1 B/R,20,B3-31,162.0,1064.13,,870000.0,817.57,Mismak Properties
Sales - Ready,Sale,Primary,11-5043-2022,14-03-2022,Dubai Marina,Opal Marina Tower,Apartment,2202,2 B/R,22,B3-39,234.98,1546.14,,1432000.0,926.18,Mismak Properties
Sales - Ready,Sale,Primary,11-5019-2022,14-03-2022,Dubai Marina,Opal Marina Tower,Apartment,2702,2 B/R,27,B3-69,234.98,1546.14,,1407000.0,910.01,Mismak Properties
Sales - Ready,Sale,Primary,11-5050-2022,14-03-2022,Jumeirah Beach Residence,The Address Jumeirah Resort Tower 2,Serviced/Hotel Apartment,3501,1 B/R,35,B2-198,59.63,740.67,,2467500.0,3331.44,Al Ain Properties
Sales - Ready,Sale,Primary,11-5063-2022,14-03-2022,Jumeirah Beach Residence,The Address Jumeirah Resort Tower 2,Serviced/Hotel Apartment,3502,1 B/R,35,B2-200,,623.67,,2040000.0,3270.98,Al Ain Properties
Sales - Ready,Sale,Primary,11-4980-2022,14-03-2022,Jumeirah Beach Residence,The Address Jumeirah Resort Tower 2,Serviced/Hotel Apartment,3503,1 B/R,35,B2-197,74.59,809.24,,2585000.0,3194.36,Al Ain Properties
Sales - Ready,Sale,Primary,11-4982-2022,14-03-2022,Jumeirah Beach Residence,The Address Jumeirah Resort Tower 2,Serviced/Hotel Apartment,3504,1 B/R,35,B2-199,82.34,704.07,,2218000.0,3150.24,Al Ain Properties
Sales - Ready,Sale,Primary,11-5064-2022,14-03-2022,Jumeirah Beach Residence,The Address Jumeirah Resort Tower 2,Serviced/Hotel Apartment,3505,3 B/R,35,"B2-267,B2-267A",146.61,1864.97,,7439500.0,3989.07,Al Ain Properties
Sales - Ready,Sale,Primary,11-5065-2022,14-03-2022,Jumeirah Beach Residence,The Address Jumeirah Resort Tower 2,Serviced/Hotel Apartment,3506,2 B/R,35,B2-178,104.41,1168.97,,4796500.0,4103.18,Al Ain Properties
Sales - Ready,Sale,Primary,11-5066-2022,14-03-2022,Jumeirah Beach Residence,The Address Jumeirah Resort Tower 2,Serviced/Hotel Apartment,3507,2 B/R,35,B2-177,175.78,1473.16,,5832000.0,3958.83,Al Ain Properties
Sales - Ready,Sale,Primary,11-4996-2022,14-03-2022,Jumeirah Beach Residence,The Address Jumeirah Resort Tower 2,Serviced/Hotel Apartment,6603,2 B/R,66,B1-138,286.43,1816.64,,5235000.0,2881.69,Al Ain Properties
Sales - Ready,Sale,Primary,11-4889-2022,11-03-2022,Jumeirah Beach Residence,The Address Jumeirah Resort Tower 1,Apartment,4504,4 B/R,45,"B3-305,B3-306",151.99,2555.05,,8072000.0,3159.23,Al Ain Properties
Sales - Ready,Delayed Sell,Primary,41-4081-2022,10-03-2022,Dubai Marina,Millennium Place (The One Dubai Marina By Wyndham),Serviced/Hotel Apartment,1821,0 B/R,18,EU,70.83,422.27,,1500000.0,3552.22,The First Group
Sales - Ready,Sale,Primary,11-4759-2022,10-03-2022,Dubai Marina,Jumeirah Living Marina Gate (The Residences at Marina Gate 3),Apartment,3607,1 B/R,36,L4R-415,43.27,945.19,,1792778.0,1896.74,Select Group
Sales - Ready,Sale,Primary,11-4757-2022,10-03-2022,Jumeirah Beach Residence,The Address Jumeirah Resort Tower 2,Serviced/Hotel Apartment,3204,1 B/R,32,B1-092,82.34,704.07,,2367500.0,3362.58,Al Ain Properties
Sales - Ready,Sale,Primary,11-4758-2022,10-03-2022,Jumeirah Beach Residence,The Address Jumeirah Resort Tower 2,Serviced/Hotel Apartment,3205,3 B/R,32,"B1-116,B1-117",146.61,1864.97,,7414000.0,3975.4,Al Ain Properties
